구,행정동명,유동인구수,수용인원수합,유동인구수 대비 수용인원비율,수용인원수합2,유동인구수 대비 수용인원비율2
남구,용흥동,14072.677,13333,94.74387851010863,13333.0,94.74387851010863
남구,동해면,9360.774,8115,86.69154922445517,8115.0,86.69154922445517
남구,효곡동,17587.516,13787,78.39083131466661,13787.0,78.39083131466661
북구,기계면,5884.323,4191,71.22314665595346,4191.0,71.22314665595346
남구,오천읍,34419.903,24398,70.88340719612138,24398.0,70.88340719612138
북구,청하면,10661.613,7336,68.80759975061935,7336.0,68.80759975061935
북구,두호동,11494.581,7546,65.64832593723948,7546.0,65.64832593723948
북구,흥해읍,48547.871,31787,65.47557976332268,31787.0,65.47557976332268
남구,상대동,19402.742,11698,60.290447607869034,11698.0,60.290447607869034
남구,연일읍,27537.452,13611,49.42723095804216,17930.0,65.11132547775298
북구,장량동,41794.774,19820,47.42219685169251,61664.0,147.53997712728392
남구,청림동,9629.903,4438,46.0856147772205,6070.0,63.0328259796594
북구,우창동,27700.71,11818,42.66316639537398,16108.0,58.1501340579357
북구,중앙동,37537.677,12967,34.543959659517554,15976.0,42.559905878032886
남구,대이동,28592.226,7788,27.23817306144684,13419.0,46.93233748222332
북구,죽도동,30559.29,7698,25.190375823522075,9058.0,29.640740998891008
남구,제철동,21918.613,5151,23.500574602964157,11406.0,52.03796426352343
