,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6538,경상북도,포항시,삼정2리 마을회관 주변,경상북도 포항시 남구 구룡포읍 삼정리 148-40,129.57431892174384,36.005410487947145,61
6539,경상북도,포항시,삼정3리 마을회관 주변,경상북도 포항시 남구 구룡포읍 삼정리 115-1,129.57578817377922,36.00822810602048,61
6540,경상북도,포항시,석병2리 경로당,경상북도 포항시 남구 구룡포읍 석병리 196-1,129.57646709089582,36.0263314177604,61
6541,경상북도,포항시,석병1리경로당,경상북도 포항시 남구 구룡포읍 석병리 881-2,129.5769215582811,36.01237804664981,152
6542,경상북도,포항시,구평3리 마을회관 주변,경상북도 포항시 남구 구룡포읍 구평리 1072-0,129.51760012227638,35.960691408699574,61
8327,경상북도,포항시,구룡포초등학교 운동장,경상북도 포항시 남구 구룡포읍 구룡포리 765-1,129.5523010119575,35.99046478162693,1455
8328,경상북도,포항시,구룡포과메기문화관,경상북도 포항시 남구 구룡포읍 구룡포리 353-0,129.56173573412931,35.992728126133464,909
8329,경상북도,포항시,구룡포중학교(포항과학기술고등학교) 운동장,경상북도 포항시 남구 구룡포읍 구룡포리 199-30,129.56578340157898,35.9918317753416,1061
8446,경상북도,포항시,하정1리 선박출입대행신고소 주변,경상북도 포항시 남구 구룡포읍 하정리 261-1,129.54767109953332,35.9648950107016,61
8447,경상북도,포항시,하정3리 버스승강장 주변,경상북도 포항시 남구 구룡포읍 하정리 28-2,129.5507924030356,35.974845469134955,61
8448,경상북도,포항시,병포2리 마을회관 주변,경상북도 포항시 남구 구룡포읍 병포리 469-52,129.54021589604312,35.98085212511222,61
8449,경상북도,포항시,(구)구룡포중학교(포항과학기술고등학교) 운동장,경상북도 포항시 남구 구룡포읍 병포리 139-1,129.5505255300886,35.9832316735765,1667
8450,경상북도,포항시,후동리 마을회관 주변,경상북도 포항시 남구 구룡포읍 후동리 226-1,129.531972707891,35.98715181828981,61
8451,경상북도,포항시,눌태1리 마을회관 주변,경상북도 포항시 남구 구룡포읍 눌태리 225-0,129.53870472322006,35.992793662202494,61
8452,경상북도,포항시,구룡포JC회관,경상북도 포항시 남구 구룡포읍 눌태리 46-2,129.54754249449596,35.986359914566805,176
8460,경상북도,포항시,(구)구남분교장(구룡포초교) 운동장,경상북도 포항시 남구 구룡포읍 구평리 739-1,129.53691661404795,35.9493150977824,1303
8461,경상북도,포항시,구평1리 마을회관 주변,경상북도 포항시 남구 구룡포읍 구평리 177-3,129.5340539593579,35.94207565581267,61
8462,경상북도,포항시,장길리 마을회관 주변,경상북도 포항시 남구 구룡포읍 장길리 159-1,129.5440583947872,35.95330710080779,61
11162,경상북도,포항시 남구,구룡포중학교 앞,경상북도 포항시 남구 구룡포읍 구룡포리 199-47,129.566992,35.990631,30
11163,경상북도,포항시 남구,충혼탑 앞,경상북도 포항시 남구 구룡포읍 구룡포리 382-7,129.5608033,35.991107,330
11164,경상북도,포항시 남구,해은사 앞,경상북도 포항시 남구 구룡포읍 구룡포리 94-14,129.5650457,35.996952,400
11165,경상북도,포항시 남구,한빛수산 입구 도로,경상북도 포항시 남구 구룡포읍 구룡포리 331-18,129.565363,35.994695,270
11168,경상북도,포항시 남구,건물 입구 공터,경상북도 포항시 남구 구룡포읍 구평리 112,129.533654,35.944446,89
11183,경상북도,포항시 남구,경북대수련원 앞 공터,경상북도 포항시남구 구룡포읍 하정리 31-3,129.5507552,35.975256,50
11184,경상북도,포항시 남구,"구, 포항과학기술고등학교 앞",경상북도 포항시남구 구룡포읍 병포리 139-1,129.5509125,35.983203,50
11185,경상북도,포항시 남구,MGM 그랜드모텔 앞,경상북도 포항시남구 구룡포읍 삼정리 485-3,129.568473,36.000185,400
11186,경상북도,포항시 남구,우리수산 앞,경상북도 포항시 남구 구룡포읍 석병리 904-2,129.576506,36.014618,400
11187,경상북도,포항시 남구,삼정2리 버스승강장 앞,경상북도 포항시남구 구룡포읍 삼정리 148-50,129.5743906,36.005419,200
11190,경상북도,포항시 남구,구룡포청소년회관 앞,경상북도 포항시남구 구룡포읍 석병리 250,129.57412,36.029325,60
11191,경상북도,포항시 남구,대성수산 입구 앞,경상북도 포항시남구 구룡포읍 석병리 20-1,129.5791441,36.03133,179
11192,경상북도,포항시 남구,석병교회 옆,경상북도 포항시남구 구룡포읍 석병리 640-2,129.577431,36.021156,130
11208,경상북도,포항시 남구,하정축양장 앞 공터,경상북도 포항시 남구 구룡포읍 하정리 115-2,129.552633,35.970759,350
11213,경상북도,포항시 남구,포스코수련원 앞,경상북도 포항시남구 구룡포읍 삼정리 95-3,129.5765408,36.009397,80
11233,경상북도,포항시 남구,장길리교회 앞,경상북도 포항시 남구 구룡포읍 장길리 108-3,129.545396,35.954415,89
11234,경상북도,포항시 남구,하정리 269번지 도로,경상북도 포항시 남구 구룡포읍 하정리 269,129.5467968,35.965353,401
