,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
2239,경상북도,포항시,탑정2리 마을회관 주변,경상북도 포항시 북구 기북면 탑정리 251-0,129.20257198406233,36.1535880891561,61
2240,경상북도,포항시,탑정1리 마을회관 주변,경상북도 포항시 북구 기북면 탑정리 747-0,129.18627747073407,36.156379125366215,61
2241,경상북도,포항시,성법리 마을회관 주변,경상북도 포항시 북구 기북면 성법리 620-0,129.19713885379022,36.17679621124451,61
2249,경상북도,포항시,대곡2리 마을회관 주변,경상북도 포항시 북구 기북면 대곡리 601-12,129.1641943097022,36.11273657240793,61
2250,경상북도,포항시,율산1리 마을회관 주변,경상북도 포항시 북구 기북면 율산리 1152-6,129.1751862287152,36.12427042764549,61
2251,경상북도,포항시,율산2리 마을회관 주변,경상북도 포항시 북구 기북면 율산리 775-0,129.17736084470852,36.13125805026178,61
2252,경상북도,포항시,기북초등학교 운동장,경상북도 포항시 북구 기북면 용기리 126-8,129.1676585829737,36.128997023994366,606
2253,경상북도,포항시,용기1리 마을회관 주변,경상북도 포항시 북구 기북면 용기리 358-1,129.16529154376587,36.13270385748095,61
2254,경상북도,포항시,오덕2리 마을회관 주변,경상북도 포항시 북구 기북면 오덕리 983-3,129.17578940119273,36.14423123841972,61
2255,경상북도,포항시,오덕1리 마을회관 주변,경상북도 포항시 북구 기북면 오덕리 241-1,129.1857837739744,36.16583470345686,61
2264,경상북도,포항시,관천리 마을회관 주변,경상북도 포항시 북구 기북면 관천리 58-0,129.1547152885111,36.12229321825901,61
2624,경상북도,포항시,대곡1리 마을회관 주변,경상북도 포항시 북구 기북면 대곡리 310-0,129.16134266755608,36.12143115518508,61
2625,경상북도,포항시,수곡리 경로당 주변,경상북도 포항시 북구 기북면 대곡리 335-0,129.1717027471345,36.11623223368288,61
