,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6580,경상북도,포항시,공수리 마을회관 주변,경상북도 포항시 남구 대송면 공수리 207-0,129.35202537433307,35.96443492046112,61
6581,경상북도,포항시,장동1리 마을회관 주변,경상북도 포항시 남구 대송면 장동리 155-0,129.3541787596751,35.95994896884876,61
6582,경상북도,포항시,장동3리 마을회관 주변,경상북도 포항시 남구 대송면 장동리 398-1,129.34564196472414,35.95828601785283,61
6583,경상북도,포항시,홍계리 마을회관 주변,경상북도 포항시 남구 대송면 홍계리 120-2,129.33900259577644,35.95302691972114,61
6584,경상북도,포항시,홍계리경로당 주변,경상북도 포항시 남구 대송면 홍계리 286-0,129.33221701866685,35.94834228393937,61
6585,경상북도,포항시,대각2리 마을회관 주변,경상북도 포항시 남구 대송면 대각리 72-6,129.3677708186539,35.94826494267828,61
6586,경상북도,포항시,대각1리 마을회관 주변,경상북도 포항시 남구 대송면 대각리 379-0,129.3625685687853,35.953905236587694,61
6587,경상북도,포항시,남성초등학교 운동장,경상북도 포항시 남구 대송면 송동리 795-0,129.35950025076136,35.97006360368426,1364
6588,경상북도,포항시,대송면행정복지센터,경상북도 포항시 남구 대송면 송동리 782-1,129.36028387324018,35.968856884754054,909
6589,경상북도,포항시,대송초등학교 운동장,경상북도 포항시 남구 대송면 제내리 974-0,129.3624241236016,35.98435236183901,1818
6590,경상북도,포항시,남성1리 마을회관 주변,경상북도 포항시 남구 대송면 남성리 268-1,129.3534538098259,35.976210896694255,61
6614,경상북도,포항시,대송중학교 운동장,경상북도 포항시 남구 대송면 남성리 83-5,129.3595988729941,35.97774044322972,1515
6615,경상북도,포항시,남성2리 마을회관 주변,경상북도 포항시 남구 대송면 남성리 447-0,129.35451143824292,35.97373972556442,61
