,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6616,경상북도,포항시,석곡도서관 주차장,경상북도 포항시 남구 동해면 도구리 737-8,129.43769523843466,35.99066352042566,606
6617,경상북도,포항시,포항동성고등학교 운동장,경상북도 포항시 남구 동해면 도구리 621-0,129.4396339212717,35.99007533020906,1515
6618,경상북도,포항시,동해초등학교 운동장,경상북도 포항시 남구 동해면 도구리 644-2,129.44104872928818,35.98836517329187,1364
6619,경상북도,포항시,동해면민운동장,경상북도 포항시 남구 동해면 약전리 370-1,129.4496680061048,35.99021228872115,2727
6620,경상북도,포항시,금광1리 마을회관 주변,경상북도 포항시 남구 동해면 금광리 681-0,129.45486409914287,35.96951083874365,61
6621,경상북도,포항시,금광2리 마을회관 주변,경상북도 포항시 남구 동해면 금광리 595-7,129.4537237998146,35.967490551417114,61
6622,경상북도,포항시,신정1리 마을회관 주변,경상북도 포항시 남구 동해면 신정리 96-1,129.456829752437,35.97695035088116,61
6623,경상북도,포항시,석리 마을회관 주변,경상북도 포항시 남구 동해면 석리 295-5,129.4597533678185,35.987366006338895,61
6624,경상북도,포항시,석리 경로당 주변,경상북도 포항시 남구 동해면 석리 124-3,129.47114207408052,35.99027123931897,61
6625,경상북도,포항시,청룡회관 주변,경상북도 포항시 남구 동해면 임곡리 310-2,129.46120017425855,36.000207028539656,303
6626,경상북도,포항시,임곡교 옆 삼거리,경상북도 포항시 남구 동해면 임곡리 634-2,129.45644931966334,35.992437090950816,61
6627,경상북도,포항시,입암1리 마을회관 주변,경상북도 포항시 남구 동해면 입암리 603-1,129.46814981991378,36.00799804841816,61
6628,경상북도,포항시,입암2리 마을회관 주변,경상북도 포항시 남구 동해면 입암리 417-3,129.47692778874583,36.01330013397679,61
6629,경상북도,포항시,마산리 마을회관 주변,경상북도 포항시 남구 동해면 마산리 185-0,129.48751865361376,36.01605760441743,61
6685,경상북도,포항시,흥환리 마을회관 주변,경상북도 포항시 남구 동해면 흥환리 320-1,129.50388961275496,36.02589308462024,61
6686,경상북도,포항시,중흥리 마을회관 주변,경상북도 포항시 남구 동해면 중흥리 225-0,129.50439570029155,36.018492020787555,61
6687,경상북도,포항시,발산리 어민복지회관 주변,경상북도 포항시 남구 동해면 발산리 342-5,129.50437766398989,36.03227873395442,61
6688,경상북도,포항시,발산2리 마을회관 주변,경상북도 포항시 남구 동해면 발산리 108-5,129.5165638730013,36.04406541132035,61
6689,경상북도,포항시,상정1리 마을회관 주변,경상북도 포항시 남구 동해면 상정리 748-1,129.48673072996,35.984086537462794,61
6690,경상북도,포항시,상정2리 마을회관 주변,경상북도 포항시 남구 동해면 상정리 339-1,129.4965127600948,35.983030920522395,61
11181,경상북도,포항시 남구,발산2리 마을뒤 공터,경상북도 포항시 남구 동해면 발산리 116-4,129.5191347,36.045009,30
11182,경상북도,포항시 남구,발산교회 옆 공터,경상북도 포항시남구 동해면 발산리 376-4,129.5075376,36.033357,31
11201,경상북도,포항시 남구,임곡1리 버스승강장 앞,경상북도 포항시 남구 동해면 임곡리 576-6,129.457401,35.994173,40
11202,경상북도,포항시 남구,청룡회관 입구,경상북도 포항시남구 동해면 임곡리 310-2,129.461227,36.000212,41
11203,경상북도,포항시 남구,카페마레 옆 공터,경상북도 포항시남구 동해면 입암리 652-2,129.4668447,36.007384,21
11207,경상북도,포항시 남구,동해초등학교 앞,경상북도 포항시 남구 동해면 도구리 670,129.4406359,35.988221,267
11212,경상북도,포항시 남구,마산리 마을 뒤 공터,경상북도 포항시 남구 동해면 마산리 68-6,129.489297,36.015451,55
11225,경상북도,포항시 남구,마산리 버스승강장 앞 공터,경상북도 포항시 남구 동해면 마산리 69-5,129.489454,36.015143,50
11226,경상북도,포항시 남구,흥환리 마을회관 뒷산,경상북도 포항시 남구 동해면 흥환리 314,129.5041477,36.026393,100
11227,경상북도,포항시 남구,흥환주유소 옆 공터,경상북도 포항시 남구 동해면 흥환리 442-3,129.506836,36.024266,30
11230,경상북도,포항시 남구,입암2리마을회관 앞 공터,경상북도 포항시남구 동해면 입암리 425-1,129.4769478,36.013278,20
