,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
2117,경상북도,포항시,신광중학교 운동장,경상북도 포항시 북구 신광면 토성리 344-0,129.26392792098375,36.13046343409916,1818
2118,경상북도,포항시,사정1리 마을회관 주변,경상북도 포항시 북구 신광면 사정리 928-1,129.27119806069797,36.1329215755456,61
2119,경상북도,포항시,사정2리 마을회관 주변,경상북도 포항시 북구 신광면 사정리 501-2,129.27443259576873,36.14173912989852,61
2120,경상북도,포항시,안덕1리 마을회관 주변,경상북도 포항시 북구 신광면 안덕리 233-0,129.26664038181636,36.14612968720709,61
2121,경상북도,포항시,안덕2리 마을회관 주변,경상북도 포항시 북구 신광면 안덕리 562-4,129.266741598537,36.15808288295389,61
2122,경상북도,포항시,포항환경학교 운동장,경상북도 포항시 북구 신광면 만석리 800-68,129.276700290905,36.15888004258278,1515
2124,경상북도,포항시,상읍1리 마을회관 주변,경상북도 포항시 북구 신광면 상읍리 245-1,129.25810872283242,36.13376735173737,61
2125,경상북도,포항시,죽성1리 마을회관 주변,경상북도 포항시 북구 신광면 죽성리 672-0,129.24527577070222,36.12199992615822,61
2126,경상북도,포항시,상읍2리 마을회관 주변,경상북도 포항시 북구 신광면 상읍리 628-3,129.24734070381487,36.1467439160894,61
2129,경상북도,포항시,냉수2리 마을회관 주변,경상북도 포항시 북구 신광면 냉수리 320-0,129.26022157633818,36.09467345266796,61
2130,경상북도,포항시,냉수1리 마을회관 주변,경상북도 포항시 북구 신광면 냉수리 192-9,129.2562502929661,36.08992214281432,61
2131,경상북도,포항시,흥곡2리 마을회관 주변,경상북도 포항시 북구 신광면 흥곡리 544-1,129.23998257057778,36.10461175136071,61
2132,경상북도,포항시,흥곡1리 마을회관 주변,경상북도 포항시 북구 신광면 흥곡리 662-2,129.23939815873138,36.09313316596759,61
2133,경상북도,포항시,우각1리 마을회관 주변,경상북도 포항시 북구 신광면 우각리 102-0,129.26346691134418,36.104589146367545,61
2134,경상북도,포항시,우각2리 마을회관 주변,경상북도 포항시 북구 신광면 우각리 513-0,129.25745276069406,36.1149923544321,61
2135,경상북도,포항시,죽성2리 마을회관 주변,경상북도 포항시 북구 신광면 죽성리 473-18,129.24994243094088,36.13205833501123,61
2190,경상북도,포항시,호리 마을회관 주변,경상북도 포항시 북구 신광면 호리 425-0,129.29205771188575,36.1319856921798,61
2192,경상북도,포항시,기일리 노인정 주변,경상북도 포항시 북구 신광면 기일리 618-0,129.23651813129095,36.173374577757656,61
2193,경상북도,포항시,마북리 마을회관 주변,경상북도 포항시 북구 신광면 마북리 256-0,129.24530587918255,36.19409228376504,61
2212,경상북도,포항시,만석1리 마을회관 주변,경상북도 포항시 북구 신광면 만석리 446-1,129.27453803460574,36.15025192683792,61
2213,경상북도,포항시,반곡리 마을회관 주변,경상북도 포항시 북구 신광면 반곡리 389-6,129.27087065119224,36.17016742783989,61
2214,경상북도,포항시,기일리 마을회관 주변,경상북도 포항시 북구 신광면 기일리 277-0,129.24441016897757,36.17639513353894,61
2593,경상북도,포항시,신광초등학교 운동장,경상북도 포항시 북구 신광면 토성리 483-0,129.26217130504563,36.12924073578338,1212
