,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6519,경상북도,포항시,연일근린공원,경상북도 포항시 남구 연일읍 동문리 9-2,129.35187771204167,35.9965410591354,4242
6520,경상북도,포항시,유강중학교 운동장,경상북도 포항시 남구 연일읍 유강리 143-5,129.3179238036263,36.008570500633944,818
6521,경상북도,포항시,유강초등학교 운동장,경상북도 포항시 남구 연일읍 유강리 582-0,129.3145724493226,36.0038173702489,1333
6522,경상북도,포항시,유강1리 마을회관 주변,경상북도 포항시 남구 연일읍 유강리 339-1,129.30596430154773,36.00239178182028,61
6523,경상북도,포항시,자명2리 마을회관 주변,경상북도 포항시 남구 연일읍 자명리 709-1,129.30409632269476,36.01148047907134,61
6524,경상북도,포항시,자명1리 마을회관 주변,경상북도 포항시 남구 연일읍 자명리 230-4,129.30600060095105,36.01789727313744,61
6525,경상북도,포항시,학전리 마을회관 주변,경상북도 포항시 남구 연일읍 학전리 167-2,129.3009451791152,36.02676863070364,61
6526,경상북도,포항시,달전리 마을회관 주변,경상북도 포항시 남구 연일읍 달전리 128-6,129.29320065390635,36.02571421532266,61
6527,경상북도,포항시,중명2리 마을회관 주변,경상북도 포항시 남구 연일읍 중명리 631-2,129.3151188960594,35.99124290788005,61
6528,경상북도,포항시,중명1리 마을회관 주변,경상북도 포항시 남구 연일읍 중명리 841-22,129.31171354351605,35.9962538896858,61
6529,경상북도,포항시,중단1리 마을회관 주변,경상북도 포항시 남구 연일읍 중단리 536-1,129.32556493313092,35.99149950701862,61
6530,경상북도,포항시,중단2리 마을회관 주변,경상북도 포항시 남구 연일읍 중단리 381-0,129.32368487682376,35.990729651012344,61
6531,경상북도,포항시,택전2리 마을회관,경상북도 포항시 남구 연일읍 택전리 517-0,129.32939608521124,35.98512222085008,61
6532,경상북도,포항시,택전1리 마을회관,경상북도 포항시 남구 연일읍 택전리 383-3,129.33342063716103,35.98719326642809,61
6533,경상북도,포항시,인주리 마을회관,경상북도 포항시 남구 연일읍 인주리 117-0,129.3404595999797,35.98254431710992,61
6534,경상북도,포항시,우복2리 마을회관,경상북도 포항시 남구 연일읍 우복리 591-0,129.3261594049997,35.97303248150399,61
6535,경상북도,포항시,우복1리 마을회관,경상북도 포항시 남구 연일읍 우복리 323-0,129.34282822541982,35.97100640133435,61
8453,경상북도,포항시,연일형산초등학교 운동장,경상북도 포항시 남구 연일읍 생지리 333-6,129.34175826856188,35.998570785722066,909
8454,경상북도,포항시,연일읍행정복지센터,경상북도 포항시 남구 연일읍 괴정리 289-1,129.3441524409176,35.99189773493576,909
8455,경상북도,포항시,영일고등학교 운동장,경상북도 포항시 남구 연일읍 동문리 47-1,129.35315161289873,35.99545251526285,2364
8456,경상북도,포항시,연일초등학교 운동장,경상북도 포항시 남구 연일읍 동문리 333-1,129.34753021377813,35.99508438808804,2182
