,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6514,경상북도,포항시,진전리 경로당 주변,경상북도 포항시 남구 오천읍 진전리 158-0,129.3994567888544,35.88432553510073,61
6515,경상북도,포항시,갈평리 마을회관 주변,경상북도 포항시 남구 오천읍 갈평리 139-0,129.402526359081,35.91972606928212,61
6516,경상북도,포항시,문충초등학교 운동장,경상북도 포항시 남구 오천읍 문충리 149-4,129.39880273149817,35.93032239874368,848
6517,경상북도,포항시,문충2리 마을회관 주변,경상북도 포항시 남구 오천읍 문충리 289-1,129.39302153386393,35.93773637782252,61
6518,경상북도,포항시,용산2리 마을회관 주변,경상북도 포항시 남구 오천읍 용산리 113-6,129.4078379296019,35.94329336989011,61
6536,경상북도,포항시,원동초등학교 운동장,경상북도 포항시 남구 오천읍 원리 978-0,129.40157480421755,35.96502820130789,727
6537,경상북도,포항시,원동 10 어린이공원,경상북도 포항시 남구 오천읍 원리 1328-0,129.4055487901847,35.972426713120555,1121
6577,경상북도,포항시,오천초등학교 운동장,경상북도 포항시 남구 오천읍 용덕리 221-2,129.41691619944848,35.97005891491299,1273
6578,경상북도,포항시,오천중고등학교 운동장,경상북도 포항시 남구 오천읍 용덕리 267-0,129.41339214353707,35.9688875184686,2303
6579,경상북도,포항시 남구,구정초등학교 운동장,경상북도 포항시 남구 오천읍 구정리 441-1,129.4086227464105,35.98060760453794,1364
6593,경상북도,포항시,포은중학교 운동장,경상북도 포항시 남구 오천읍 원리 982-0,129.40475487222267,35.96521866920459,758
6594,경상북도,포항시,원동8 어린이공원,경상북도 포항시 남구 오천읍 원리 1135-0,129.40348557968343,35.97398814208505,1212
6595,경상북도,포항시,원동12 근린공원,경상북도 포항시 남구 오천읍 원리 919-0,129.40636108084632,35.96878435287139,818
6596,경상북도,포항시,원동7 근린공원,경상북도 포항시 남구 오천읍 원리 1429-0,129.40857968440565,35.97277877980918,2909
6597,경상북도,포항시,문덕초등학교 운동장,경상북도 포항시 남구 오천읍 문덕리 1188-403,129.40942991308887,35.9601403125836,1485
6598,경상북도,포항시,문덕1 어린이공원,경상북도 포항시 남구 오천읍 문덕리 219-5,129.4016439650203,35.96188695591209,364
6599,경상북도,포항시,문덕3 어린이공원,경상북도 포항시 남구 오천읍 문덕리 404-5,129.40485356660372,35.95615039739255,455
6600,경상북도,포항시,문덕근린공원,경상북도 포항시 남구 오천읍 문덕리 383-1,129.40088102559966,35.95605027128464,2727
6601,경상북도,포항시,오천읍민운동장,경상북도 포항시 남구 오천읍 문덕리 613-0,129.40145410980003,35.94667032261754,3030
6602,경상북도,포항시,문덕5 어린이공원,경상북도 포항시 남구 오천읍 문덕리 319-6,129.40443119905223,35.95993671763112,455
6603,경상북도,포항시,오천읍행정복지센터,경상북도 포항시 남구 오천읍 문덕리 27-2,129.4147216237343,35.96298590981468,909
6604,경상북도,포항시,문덕2리 마을회관 주변,경상북도 포항시 남구 오천읍 문덕리 1043-18,129.391383,35.941852,61
6605,경상북도,포항시,항사리 마을회관 주변,경상북도 포항시 남구 오천읍 항사리 87-13,129.38350780334915,35.92944935873248,61
6630,경상북도,포항시,용산1리 마을회관 주변,경상북도 포항시 남구 오천읍 용산리 281-1,129.40214683984533,35.93921054667074,61
6631,경상북도,포항시,광명리 마을회관 주변,경상북도 포항시 남구 오천읍 광명리 66-0,129.42317671308805,35.951607730106275,61
6632,경상북도,포항시,신흥중학교 운동장,경상북도 포항시 남구 오천읍 세계리 700-3,129.42205747557816,35.96474501558762,1030
6633,경상북도,포항시,세계2리 경로당 주변,경상북도 포항시 남구 오천읍 세계리 409-2,129.43447285111966,35.954479745548504,61
6634,경상북도,포항시,세계1리 마을회관 주변,경상북도 포항시 남구 오천읍 세계리 146-1,129.42844957025963,35.964234224752225,61
