,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6606,경상북도,포항시,영암3리 마을회관 주변,경상북도 포항시 남구 장기면 영암리 375-0,129.52396370614397,35.911626103016495,61
6607,경상북도,포항시,영암1리 마을회관 주변,경상북도 포항시 남구 장기면 영암리 106-7,129.52697617957892,35.904073602525905,61
6608,경상북도,포항시,신창1리 마을회관 주변,경상북도 포항시 남구 장기면 신창리 177-47,129.52413083506937,35.89386474235377,61
6609,경상북도,포항시,신창2리 마을회관 주변,경상북도 포항시 남구 장기면 신창리 368-0,129.5273743009108,35.88613829034592,61
6610,경상북도,포항시,양포초등학교 운동장,경상북도 포항시 남구 장기면 양포리 487-18,129.5132231056683,35.87620185507385,909
6611,경상북도,포항시,양포항 주차장,경상북도 포항시 남구 장기면 양포리 9-32,129.5198767820061,35.88151312504894,576
6612,경상북도,포항시,계원1리 공동작업장 주변,경상북도 포항시 남구 장기면 계원리 96-0,129.52858783872915,35.87060705213567,61
6613,경상북도,포항시,계원2리 마을회관 주변,경상북도 포항시 남구 장기면 계원리 372-1,129.5250937316357,35.859819400136104,61
6667,경상북도,포항시,수성리 마을회관 주변,경상북도 포항시 남구 장기면 수성리 460-6,129.50337566594848,35.878823241826744,61
6668,경상북도,포항시,장기중학교 운동장,경상북도 포항시 남구 장기면 임중리 331-2,129.49287883887956,35.89179275024058,1576
6669,경상북도,포항시,방산1리 마을회관 주변,경상북도 포항시 남구 장기면 방산리 236-2,129.46674448640616,35.90309878178154,61
6670,경상북도,포항시,방산2리 마을공터,경상북도 포항시 남구 장기면 방산리 1172-0,129.44924106334142,35.911505164108895,61
6671,경상북도,포항시,방산2리 마을회관 주변,경상북도 포항시 남구 장기면 방산리 905-11,129.45526114001802,35.91600072714749,61
6672,경상북도,포항시,산서리 마을회관 주변,경상북도 포항시 남구 장기면 산서리 1266-11,129.4621745382262,35.89130923946926,61
6673,경상북도,포항시,서촌2리 마을회관 주변,경상북도 포항시 남구 장기면 서촌리 142-3,129.4835336803392,35.90805325749907,61
6674,경상북도,포항시,금오리 경로당 주변,경상북도 포항시 남구 장기면 금오리 227-1,129.49683988205956,35.9162641130197,61
6675,경상북도,포항시,금오리 마을회관 주변,경상북도 포항시 남구 장기면 금오리 493-5,129.4890176127632,35.92230405208298,61
6676,경상북도,포항시,대진리 마을회관 주변,경상북도 포항시 남구 장기면 대진리 128-0,129.51737500502352,35.925053400352,61
6677,경상북도,포항시,장기초등학교 모포분교 운동장,경상북도 포항시 남구 장기면 모포리 95-0,129.52329161548914,35.934536521400545,455
6678,경상북도,포항시,학계리 마을회관 주변,경상북도 포항시 남구 장기면 학계리 561-0,129.50191080140928,35.92848992134302,61
6679,경상북도,포항시,학곡리 마을회관 주변,경상북도 포항시 남구 장기면 학곡리 495-0,129.4910951461333,35.93167219508187,61
6680,경상북도,포항시,신계리 마을회관 주변,경상북도 포항시 남구 장기면 신계리 401-0,129.47873147545096,35.93696956084784,61
6681,경상북도,포항시,창지2리 마을회관 주변,경상북도 포항시 남구 장기면 창지리 470-1,129.48237109441217,35.92713922944951,61
6682,경상북도,포항시,창지1리 마을회관 주변,경상북도 포항시 남구 장기면 창지리 183-1,129.47955610204608,35.932795954782655,61
6683,경상북도,포항시,대곡리 마을회관 주변,경상북도 포항시 남구 장기면 대곡리 226-4,129.47099522438873,35.93683720088343,61
6684,경상북도,포항시,정천2리 마을회관 주변,경상북도 포항시 남구 장기면 정천리 159-7,129.46420801509666,35.951648851882,61
6691,경상북도,포항시,장기면사무소,경상북도 포항시 남구 장기면 읍내리 108-0,129.49278436789592,35.89596383332722,303
6692,경상북도,포항시,마현리 마을회관 주변,경상북도 포항시 남구 장기면 마현리 134-0,129.50014089227074,35.899001754670074,61
6693,경상북도,포항시,장기초등학교 운동장,경상북도 포항시 남구 장기면 마현리 299-0,129.49431935019243,35.89700457796941,1515
6694,경상북도,포항시,금곡리 마을회관 주변,경상북도 포항시 남구 장기면 금곡리 406-1,129.5132815219029,35.90177897057591,61
6695,경상북도,포항시,금곡리 노인정 주변,경상북도 포항시 남구 장기면 금곡리 450-2,129.5137542398959,35.90747551152493,61
6749,경상북도,포항시,정천1리 마을회관 주변,경상북도 포항시 남구 장기면 정천리 491-0,129.4479324538616,35.94873176079618,61
6769,경상북도,포항시,두원리 마을회관 주변,경상북도 포항시 남구 장기면 두원리 131-2,129.51622354285556,35.84474377206432,61
11177,경상북도,포항시 남구,두원리 버스승강장 앞,경상북도 포항시 남구 장기면 두원리 523-15,129.515828,35.84356,100
11178,경상북도,포항시 남구,두원주유소 앞,경상북도 포항시 남구 장기면 두원리 57-1,129.518114,35.84891,1500
11179,경상북도,포항시 남구,대진주유소 앞,경상북도 포항시 남구 장기면 대진리 87-3,129.517354,35.923007,58
11180,경상북도,포항시 남구,모포초등학교 앞,경상북도 포항시 남구 장기면 모포리 94-2,129.5230262,35.93445,50
11188,경상북도,포항시 남구,세계원 횟집 앞,경상북도 포항시 남구 장기면 계원리 324,129.525328,35.861501,1011
11189,경상북도,포항시 남구,등대회식당 버스승강장,경상북도 포항시 남구 장기면 계원리 26-3,129.5300464,35.868253,1500
11194,경상북도,포항시 남구,부산돼지국밥 옆,경상북도 포항시남구 장기면 신창리 237-2,129.523232,35.892418,70
11195,경상북도,포항시 남구,신창리 산15-1 공터,경상북도 포항시남구 장기면 신창리 66-2,129.5259697,35.901097,179
11196,경상북도,포항시 남구,황제노래연습장 앞,경상북도 포항시남구 장기면 신창리 479-4,129.526652,35.885226,97
11197,경상북도,포항시 남구,신창리 400-1앞 도로 옆 공터,경상북도 포항시남구 장기면 신창리 400-1,129.526961,35.884167,1800
11198,경상북도,포항시 남구,양포초등학교 앞,경상북도 포항시남구 장기면 양포리 487-18,129.513098,35.87631,82
11199,경상북도,포항시 남구,영암리 버스승강장 앞,경상북도 포항시남구 장기면 영암리 101-2,129.5259994,35.904067,265
11200,경상북도,포항시 남구,백경오토캠핑장 앞,경상북도 포항시남구 장기면 영암리 344-2,129.52541,35.909755,265
