,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수,총인구수,인구대비 수용가능인원비율
10,경상북도,포항시북구,포항장흥초등학교 운동장,경상북도 포항시 북구 장성동 1429-1,129.39300079695084,36.07835716953214,1400,269545,0.2813810180365232
11,경상북도,포항시북구,장성초등학교 운동장,경상북도 포항시 북구 장성동 1344,129.3718484324176,36.06978983286234,1667,269545,0.3350443979049173
12,경상북도,포항시북구,장량초등학교 운동장,경상북도 포항시 북구 장성동 441-3,129.3803582398613,36.0714609350086,1400,269545,0.2813810180365232
13,경상북도,포항시북구,장성4어린이공원,경상북도 포항시 북구 장성동 1410-12,129.39418408473566,36.08323350830916,533,269545,0.1071257732953334
14,경상북도,포항시북구,장성6어린이공원,경상북도 포항시 북구 장성동 1460-1,129.38709106644092,36.07664474322997,633,269545,0.1272244174407994
15,경상북도,포항시북구,장성15어린이공원,경상북도 포항시 북구 장성동 1566-8,129.38430711063086,36.0763242699383,533,269545,0.1071257732953334
22,경상북도,포항시북구,장원초등학교 운동장,경상북도 포항시 북구 장성동 1536-1,129.38489231813264,36.08138753173304,1400,269545,0.2813810180365232
71,경상북도,포항시북구,장성고등학교 운동장,경상북도 포항시 북구 장성동 1498-1,129.38518006782968,36.08580912521396,1400,269545,0.2813810180365232
198,경상북도,포항시북구,장흥중학교 운동장,경상북도 포항시 북구 장성동 1372-1,129.38665244843526,36.0856330792659,1333,269545,0.267914926459061
195,경상북도,포항시북구,포항송곡초등학교 운동장,경상북도 포항시 북구 양덕동 336-2,129.38432552018645,36.09179116509659,833,269545,0.1674217057317313
196,경상북도,포항시북구,양덕초등학교 운동장,경상북도 포항시 북구 양덕동 1851-0,129.40359334707065,36.07977130376061,667,269545,0.1340579564502578
197,경상북도,포항시북구,양덕축구장,경상북도 포항시 북구 양덕동 502-0,129.3994092323627,36.07764920301813,10000,269545,2.0098644145465947
