,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
661,경상북도,포항시,포항장흥초등학교 운동장,경상북도 포항시 북구 장성동 1429-1,129.39300079695084,36.07835716953214,1273
662,경상북도,포항시,장성초등학교 운동장,경상북도 포항시 북구 장성동 1344,129.3718484324176,36.06978983286234,1515
663,경상북도,포항시,장량초등학교 운동장,경상북도 포항시 북구 장성동 441-3,129.3803582398613,36.0714609350086,1273
664,경상북도,포항시,장성4어린이공원,경상북도 포항시 북구 장성동 1410-12,129.39418408473566,36.08323350830916,485
665,경상북도,포항시,장성6어린이공원,경상북도 포항시 북구 장성동 1460-1,129.38709106644092,36.07664474322997,576
666,경상북도,포항시,장성15어린이공원,경상북도 포항시 북구 장성동 1566-8,129.38430711063086,36.0763242699383,485
673,경상북도,포항시,장원초등학교 운동장,경상북도 포항시 북구 장성동 1536-1,129.38489231813264,36.08138753173304,1273
2123,경상북도,포항시,장성고등학교 운동장,경상북도 포항시 북구 장성동 1498-1,129.38518006782968,36.08580912521396,1273
2592,경상북도,포항시,장흥중학교 운동장,경상북도 포항시 북구 장성동 1372-1,129.38665244843526,36.0856330792659,1212
2589,경상북도,포항시,포항송곡초등학교 운동장,경상북도 포항시 북구 양덕동 336-2,129.38432552018645,36.09179116509659,758
2590,경상북도,포항시,양덕초등학교 운동장,경상북도 포항시 북구 양덕동 1851-0,129.40359334707065,36.07977130376061,606
2591,경상북도,포항시,양덕축구장,경상북도 포항시 북구 양덕동 502-0,129.3994092323627,36.07764920301813,9091
