,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
2256,경상북도,포항시,친환경영농지원센터,경상북도 포항시 북구 죽장면 합덕리 276-0,129.09597867110315,36.20247465585121,455
2257,경상북도,포항시,월평리 마을회관 주변,경상북도 포항시 북구 죽장면 월평리 399-1,129.06990935693898,36.20470142079408,61
2258,경상북도,포항시,방흥리 마을회관 주변,경상북도 포항시 북구 죽장면 방흥리 290-1,129.0944461278525,36.18147890126816,61
2259,경상북도,포항시,현내리 마을회관 주변,경상북도 포항시 북구 죽장면 현내리 247-1,129.0819263203177,36.183116055042994,61
2260,경상북도,포항시,봉계리 마을회관 주변,경상북도 포항시 북구 죽장면 봉계리 255-0,129.05268214815683,36.197051223257006,61
2261,경상북도,포항시,두마리 마을회관 주변,경상북도 포항시 북구 죽장면 두마리 885-0,129.02551776857916,36.16817178913868,61
2262,경상북도,포항시,죽장초등학교 상옥분교장 운동장,경상북도 포항시 북구 죽장면 상옥리 748-1,129.213984443718,36.24642113457816,606
2263,경상북도,포항시,포항학생야영장,경상북도 포항시 북구 죽장면 하옥리 446-1,129.24876108348388,36.30284298354909,364
2277,경상북도,포항시,침곡리 마을회관 주변,경상북도 포항시 북구 죽장면 침곡리 382-6,129.12779439589804,36.166238443175146,61
2278,경상북도,포항시,경북간호고등학교 운동장,경상북도 포항시 북구 죽장면 입암리 643-8,129.09360529571453,36.163499888142944,1576
2279,경상북도,포항시,일광리 마을회관 주변,경상북도 포항시 북구 죽장면 일광리 240-0,129.07996970352997,36.14719294635858,61
2280,경상북도,포항시,지동리 마을회관 주변,경상북도 포항시 북구 죽장면 지동리 639-0,129.08123918249024,36.1230020203631,61
2281,경상북도,포항시,정자리 마을회관 주변,경상북도 포항시 북구 죽장면 정자리 425-1,129.10229182817562,36.13104288191728,61
2282,경상북도,포항시,감곡리 마을회관 주변,경상북도 포항시 북구 죽장면 감곡리 328-1,129.121879147096,36.14460932366662,61
2283,경상북도,포항시,상사리 마을회관 주변,경상북도 포항시 북구 죽장면 상사리 626-1,129.1088097314618,36.25323931660993,61
2284,경상북도,포항시,하사리 마을회관 주변,경상북도 포항시 북구 죽장면 하사리 519-1,129.0692730999462,36.2609959917051,61
2285,경상북도,포항시,하사리 소공원,경상북도 포항시 북구 죽장면 하사리 300-3,129.0821996646676,36.25602142952947,91
2286,경상북도,포항시,석계리마을회관 주변,경상북도 포항시 북구 죽장면 석계리 293-3,129.12487890911558,36.21525373686119,61
2287,경상북도,포항시,가사리 마을회관 주변,경상북도 포항시 북구 죽장면 가사리 608-4,129.14975335909716,36.1933542851644,61
2288,경상북도,포항시,매현1리 마을회관 주변,경상북도 포항시 북구 죽장면 매현리 714-1,129.11210090940557,36.17242277679722,61
2289,경상북도,포항시,매현2리 마을회관 주변,경상북도 포항시 북구 죽장면 매현리 603-0,129.11914926416617,36.177750680476215,61
