,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
2160,경상북도,포항시,상대리 마을회관 주변,경상북도 포항시 북구 청하면 상대리 173-40,129.32018222116452,36.18945234160713,61
2161,경상북도,포항시,청진1리 마을회관 주변,경상북도 포항시 북구 청하면 청진리 48-0,129.39211644718802,36.180022705596414,61
2162,경상북도,포항시,청진3리 어민복지회관 주변,경상북도 포항시 북구 청하면 청진리 429-0,129.39697165060662,36.170544108875546,61
2163,경상북도,포항시,청진2리 마을회관 주변,경상북도 포항시 북구 청하면 청진리 262-0,129.39441617416873,36.17496844721176,61
2164,경상북도,포항시,신흥리 마을회관 공터,경상북도 포항시 북구 청하면 신흥리 162-1,129.37645077416826,36.15479595487886,61
2165,경상북도,포항시,소동리 마을회관,경상북도 포항시 북구 청하면 소동리 371-2,129.35617894726855,36.16338837097184,61
2166,경상북도,포항시,호암경로당 주변,경상북도 포항시 북구 청하면 소동리 793-93,129.344391104181,36.1672075498169,61
2167,경상북도,포항시,고현1리 마을회관,경상북도 포항시 북구 청하면 고현리 402-0,129.32997174178124,36.16441833132433,61
2168,경상북도,포항시,고현2리 마을회관,경상북도 포항시 북구 청하면 고현리 395-3,129.32988074014813,36.16607362318199,61
2169,경상북도,포항시,하대리 마을회관 주변,경상북도 포항시 북구 청하면 하대리 217-6,129.33268970723276,36.19024126134168,61
2181,경상북도,포항시,청하중학교 운동장,경상북도 포항시 북구 청하면 덕성리 384-1,129.33488728733604,36.194106744318624,1242
2182,경상북도,포항시,청하면민복지회관,경상북도 포항시 북구 청하면 덕천리 164-1,129.34087967681796,36.20136341786999,909
2183,경상북도,포항시,미남리 마을회관 주변,경상북도 포항시 북구 청하면 미남리 525-1,129.3414813596968,36.194322942070414,61
2184,경상북도,포항시,필화1리 마을회관 주변,경상북도 포항시 북구 청하면 필화리 508-11,129.350791675954,36.19779479785102,61
2185,경상북도,포항시,필화2리 마을회관 주변,경상북도 포항시 북구 청하면 필화리 399-5,129.35850473363638,36.199222144736126,61
2186,경상북도,포항시,용두1리 마을회관 주변,경상북도 포항시 북구 청하면 용두리 104-22,129.37270244748592,36.19483427804922,61
2187,경상북도,포항시,월포초등학교 운동장,경상북도 포항시 북구 청하면 월포리 306,129.36797369333655,36.20318907852587,818
2188,경상북도,포항시,방어리 마을회관 주변,경상북도 포항시 북구 청하면 방어리 132-1,129.38060025371084,36.21140087156665,61
2189,경상북도,포항시,이가리 마을회관 주변,경상북도 포항시 북구 청하면 이가리 73-0,129.38793324457828,36.18355955528112,61
2191,경상북도,포항시,청하초등학교 운동장,경상북도 포항시 북구 청하면 덕성리 327,129.33775036074897,36.19856059474903,1000
2597,경상북도,포항시,서정2리 마을회관 주변,경상북도 포항시 북구 청하면 서정리 707-126,129.3263625671801,36.19386903328132,61
2598,경상북도,포항시,서정1리 마을회관 주변,경상북도 포항시 북구 청하면 서정리 589-1,129.31109147625406,36.19101989018928,61
2599,경상북도,포항시,명안2리 마을회관 주변,경상북도 포항시 북구 청하면 명안리 484-4,129.2890683407745,36.179998426355326,61
2600,경상북도,포항시,유계리 마을회관 주변,경상북도 포항시 북구 청하면 유계리 466-4,129.30494959983932,36.194031307824666,61
2601,경상북도,포항시,청계리 마을회관 주변,경상북도 포항시 북구 청하면 청계리 555-1,129.32591830494567,36.211992625088826,61
11217,경상북도,포항시북구,방어침례교회 앞,경상북도 포항시 북구 청하면 방어리 122,129.381445,36.211907,200
11218,경상북도,포항시북구,월포백번횟집앞,경상북도 포항시 북구 청하면 방어리 산16,129.376633,36.208705,200
11223,경상북도,포항시북구,오션뷰 펜션 앞,경상북도 포항시 북구 청하면 용두리 49-2,129.369475,36.194667,160
11235,경상북도,포항시북구,월포다리,경상북도 포항시 북구 청하면 월포리 3-18,129.372621,36.207883,500
11236,경상북도,포항시북구,월포초교 뒷뜰앞,경상북도 포항시 북구 청하면 용두리 481-2,129.367358,36.203407,506
11237,경상북도,포항시북구,이가리 산68-3 일원,경상북도 포항시 북구 청하면 이가리 산68-3,129.378662,36.187751,200
11238,경상북도,포항시북구,이가힐펜션 앞,경상북도 포항시 북구 청하면 이가리 911,129.3838917,36.183752,120
11244,경상북도,포항시북구,선정마을입구 앞,경상북도 포항시 북구 청하면 청진리 309,129.392816,36.174615,80
11245,경상북도,포항시북구,스타팜펜션 앞 공터,경상북도 포항시 북구 청하면 청진리 413-1,129.396289,36.17027,50
11246,경상북도,포항시북구,청진1리 GS주유소 앞,경상북도 포항시 북구 청하면 청진리 78,129.390466,36.179059,70
