,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
6750,경상북도,포항시,강사3리 마을회관 주변,경상북도 포항시 남구 호미곶면 강사리 1038-10,129.5595737531535,36.03121893430772,61
6751,경상북도,포항시,강사2리 마을회관 주변,경상북도 포항시 남구 호미곶면 강사리 562-0,129.5769272395447,36.04889890958278,61
6752,경상북도,포항시,강사1리 마을회관 주변,경상북도 포항시 남구 호미곶면 강사리 169-7,129.57786290760097,36.039707426008896,61
6753,경상북도,포항시,호미곶해맞이광장,경상북도 포항시 남구 호미곶면 대보리 295-2,129.56445495153616,36.07633023026788,1818
6754,경상북도,포항시,대보1리 마을회관 주변,경상북도 포항시 남구 호미곶면 대보리 89-1,129.56720009758504,36.06839329643368,91
6755,경상북도,포항시,대보초등학교 운동장,경상북도 포항시 남구 호미곶면 구만리 123-0,129.55733094209782,36.078314836944486,1212
6756,경상북도,포항시,호미곶면사무소,경상북도 포항시 남구 호미곶면 구만리 47-6,129.55576556377855,36.08046731293333,364
6757,경상북도,포항시,구만2리 마을회관 주변,경상북도 포항시 남구 호미곶면 구만리 576-16,129.55060482709965,36.08036341543685,61
6758,경상북도,포항시,대동배1리 마을회관 주변,경상북도 포항시 남구 호미곶면 대동배리 393-0,129.53274676128402,36.05701792934033,61
6759,경상북도,포항시,대동배2리 마을회관 주변,경상북도 포항시 남구 호미곶면 대동배리 50-2,129.54033918180076,36.06560737435462,61
11153,경상북도,포항시 남구,벤트풀빌라 옆,경상북도 포항시 남구 호미곶면 강사리 212-1,129.578006,36.036037,50
11154,경상북도,포항시 남구,강사교회 앞 공터,경상북도 포항시 남구 호미곶면 강사리 437-4,129.57654,36.047199,64
11155,경상북도,포항시 남구,해송모텔 앞,경상북도 포항시 남구 호미곶면 강사리 756-5,129.576221,36.055119,11
11166,경상북도,포항시 남구,구만리 389-1 주변,경상북도 포항시 남구 호미곶면 구만리 389-1,129.55080836,36.081356,185
11167,경상북도,포항시 남구,호미곶팬션 앞,경상북도 포항시 남구 호미곶면 구만리 491-7,129.5480336,36.084611,50
11169,경상북도,포항시 남구,대동배1리마을뒷산,경상북도 포항시 남구 호미곶면 대동배리 359,129.5344882,36.058403,77
11204,경상북도,포항시 남구,대동배1리보건진료소 앞,경상북도 포항시 남구 호미곶면 대동배리 420-3,129.531342,36.055591,80
11205,경상북도,포항시 남구,대동배2리마을 뒤,경상북도 포항시 남구 호미곶면 대동배리 산26-6,129.5372641,36.065746,70
11206,경상북도,포항시 남구,대동배2리버스승강장앞,경상북도 포항시 남구 호미곶면 대동배리 48-2,129.5407202,36.06488,50
11209,경상북도,포항시 남구,대보초등학교 앞,경상북도 포항시 남구 호미곶면 구만리 123,129.5575016,36.078257,500
11211,경상북도,포항시 남구,호미곶면사무소 앞,경상북도 포항시 남구 호미곶면 구만리 47-7,129.5556223,36.08065,15
11210,경상북도,포항시 남구,대보1교차로 앞,경상북도 포항시 남구 대보면 대보리 14-9,129.570062,36.065071,53
