,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수,총인구수,인구대비 수용가능인원비율
47,경상북도,포항시북구,덕장1리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕장리 1025-17,129.33439593436364,36.13419161137509,67,269545,0.0134660915774621
48,경상북도,포항시북구,용전2리 마을회관 주변,경상북도 포항시 북구 흥해읍 용전리 250-2,129.34241734639178,36.12585477831124,67,269545,0.0134660915774621
49,경상북도,포항시북구,용전1리 마을회관 주변,경상북도 포항시 북구 흥해읍 용전리 797-21,129.32973003771477,36.12074828935826,67,269545,0.0134660915774621
50,경상북도,포항시북구,곡강초등학교 운동장,경상북도 포항시 북구 흥해읍 용천리 1203-0,129.3485656009897,36.1303846413322,1400,269545,0.2813810180365232
53,경상북도,포항시북구,용곡리 마을회관 주변,경상북도 포항시 북구 흥해읍 용곡리 367-0,129.30980462280164,36.12215647426661,67,269545,0.0134660915774621
54,경상북도,포항시북구,양백1리 마을회관 주변,경상북도 포항시 북구 흥해읍 양백리 477-0,129.32075517719568,36.1259793392959,67,269545,0.0134660915774621
55,경상북도,포항시북구,양백2리 마을회관 주변,경상북도 포항시 북구 흥해읍 양백리 204-0,129.3249183453395,36.13086791058964,67,269545,0.0134660915774621
56,경상북도,포항시북구,덕성2리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕성리 254-1,129.321230425775,36.1449306443483,67,269545,0.0134660915774621
57,경상북도,포항시북구,덕성1리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕성리 533-0,129.3053107627684,36.1498781367657,67,269545,0.0134660915774621
58,경상북도,포항시북구,덕장2리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕장리 396-0,129.34469632781423,36.14460955867109,67,269545,0.0134660915774621
59,경상북도,포항시북구,용한1리 마을회관 주변,경상북도 포항시 북구 흥해읍 용한리 535-0,129.42564935034102,36.11154614864205,67,269545,0.0134660915774621
60,경상북도,포항시북구,죽천초등학교 운동장,경상북도 포항시 북구 흥해읍 우목리 20-0,129.42777869165306,36.09802641745592,1500,269545,0.3014796621819892
61,경상북도,포항시북구,죽천2리 마을회관 주변,경상북도 포항시 북구 흥해읍 죽천리 333-10,129.4164502484139,36.08380185005896,67,269545,0.0134660915774621
62,경상북도,포항시북구,죽천1리 마을회관 주변,경상북도 포항시 북구 흥해읍 죽천리 111-10,129.41929988463033,36.08949960871202,67,269545,0.0134660915774621
63,경상북도,포항시북구,포항대학교 운동장,경상북도 포항시 북구 흥해읍 죽천리 442-1,129.4094059578657,36.0854015489955,3667,269545,0.7370172808142362
64,경상북도,포항시북구,용곡리 정자 및 인근 공터,경상북도 포항시 북구 흥해읍 용곡리 173-1,129.31218391078025,36.12205984387701,67,269545,0.0134660915774621
75,경상북도,포항시북구,대련3리 마을회관 주변,경상북도 포항시 북구 흥해읍 대련리 1132-26,129.32088433505987,36.04618782247109,67,269545,0.0134660915774621
76,경상북도,포항시북구,대련1리 마을회관 주변,경상북도 포항시 북구 흥해읍 대련리 662-6,129.3125367038348,36.04685389458224,67,269545,0.0134660915774621
84,경상북도,포항시북구,오도2리 마을회관 주변,경상북도 포항시 북구 흥해읍 오도리 77-0,129.39903214204335,36.1644207801599,67,269545,0.0134660915774621
85,경상북도,포항시북구,오도1리 마을회관 주변,경상북도 포항시 북구 흥해읍 오도리 322-0,129.39952884493854,36.154299297783886,67,269545,0.0134660915774621
86,경상북도,포항시북구,초곡리 마을회관 주변,경상북도 포항시 북구 흥해읍 초곡리 1010-16,129.31943988751624,36.08601978697309,67,269545,0.0134660915774621
87,경상북도,포항시북구,도음산도립공원,경상북도 포항시 북구 흥해읍 학천리 707-2,129.3048521511219,36.079664505737775,5333,269545,1.071860692277699
88,경상북도,포항시북구,농산물 도매시장 주차장,경상북도 포항시 북구 흥해읍 학천리 4-0,129.3356288856233,36.08010996807675,6667,269545,1.3399766051782147
89,경상북도,포항시북구,학천초등학교 운동장,경상북도 포항시 북구 흥해읍 학천리 109-0,129.32814758841636,36.076848757590575,1000,269545,0.2009864414546594
90,경상북도,포항시북구,성곡1리 마을회관 주변,경상북도 포항시 북구 흥해읍 성곡리 591-0,129.346099264691,36.091312954062566,67,269545,0.0134660915774621
91,경상북도,포항시북구,성곡농장경로당 주변,경상북도 포항시 북구 흥해읍 성곡리 169-2,129.35685786282994,36.08676401981749,67,269545,0.0134660915774621
92,경상북도,포항시북구,성곡3리 새마을복지관 주변,경상북도 포항시 북구 흥해읍 성곡리 349-1,129.3486307361173,36.08035032122109,67,269545,0.0134660915774621
93,경상북도,포항시북구,달전초등학교 운동장,경상북도 포항시 북구 흥해읍 이인리 286-0,129.33478834118353,36.06313641718218,867,269545,0.1742552447411897
94,경상북도,포항시북구,칠포2리 마을회관 주변,경상북도 포항시 북구 흥해읍 칠포리 377-15,129.39460175106376,36.14165059825632,67,269545,0.0134660915774621
95,경상북도,포항시북구,칠포1리 마을회관 주변,경상북도 포항시 북구 흥해읍 칠포리 143-1,129.39545299314045,36.14382335861245,67,269545,0.0134660915774621
96,경상북도,포항시북구,금장2리 마을회관 주변,경상북도 포항시 북구 흥해읍 금장리 184-1,129.37433335978193,36.12887527896383,67,269545,0.0134660915774621
178,경상북도,포항시북구,용한2리 마을회관 주변,경상북도 포항시 북구 흥해읍 용한리 197-0,129.4309358365132,36.10233085575368,67,269545,0.0134660915774621
179,경상북도,포항시북구,남송1리 마을회관 주변,경상북도 포항시 북구 흥해읍 남송리 709-0,129.36794459122535,36.10013395275704,67,269545,0.0134660915774621
180,경상북도,포항시북구,남송3리 마을회관 주변,경상북도 포항시 북구 흥해읍 남송리 228-0,129.38334109723868,36.11260379422316,67,269545,0.0134660915774621
181,경상북도,포항시북구,곡강3리 마을회관 주변,경상북도 포항시 북구 흥해읍 곡강리 507-6,129.39845324485276,36.12813120087064,67,269545,0.0134660915774621
182,경상북도,포항시북구,망천어린이공원,경상북도 포항시 북구 흥해읍 망천리 989-0,129.35235588608722,36.111212936038,500,269545,0.1004932207273297
183,경상북도,포항시북구,남성7 어린이공원,경상북도 포항시 북구 흥해읍 남성리 299-5,129.34865284656948,36.10735132429743,400,269545,0.0803945765818637
184,경상북도,포항시북구,중성어린이공원,경상북도 포항시 북구 흥해읍 중성리 138-0,129.3508910903276,36.11008675335669,500,269545,0.1004932207273297
185,경상북도,포항시북구,흥해초등학교 운동장,경상북도 포항시 북구 흥해읍 약성리 100-0,129.3466433522742,36.114194525501055,1833,269545,0.3684081471863908
186,경상북도,포항시북구,흥해남산초등학교 운동장,경상북도 포항시 북구 흥해읍 남성리 338-0,129.34565592262288,36.10476191779778,1067,269545,0.2144525330321216
187,경상북도,포항시북구,흥해중학교 운동장,경상북도 포항시 북구 흥해읍 옥성리 177-1,129.34160704579932,36.10841693501121,2333,269545,0.4689013679137205
188,경상북도,포항시북구,농업기술센터,경상북도 포항시 북구 흥해읍 매산리 16-1,129.30520280666585,36.11353285143884,667,269545,0.1340579564502578
