,시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
744,경상북도,포항시,덕장1리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕장리 1025-17,129.33439593436364,36.13419161137509,61
745,경상북도,포항시,용전2리 마을회관 주변,경상북도 포항시 북구 흥해읍 용전리 250-2,129.34241734639178,36.12585477831124,61
746,경상북도,포항시,용전1리 마을회관 주변,경상북도 포항시 북구 흥해읍 용전리 797-21,129.32973003771477,36.12074828935826,61
747,경상북도,포항시,곡강초등학교 운동장,경상북도 포항시 북구 흥해읍 용천리 1203-0,129.3485656009897,36.1303846413322,1273
766,경상북도,포항시,용곡리 마을회관 주변,경상북도 포항시 북구 흥해읍 용곡리 367-0,129.30980462280164,36.12215647426661,61
767,경상북도,포항시,양백1리 마을회관 주변,경상북도 포항시 북구 흥해읍 양백리 477-0,129.32075517719568,36.1259793392959,61
768,경상북도,포항시,양백2리 마을회관 주변,경상북도 포항시 북구 흥해읍 양백리 204-0,129.3249183453395,36.13086791058964,61
769,경상북도,포항시,덕성2리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕성리 254-1,129.321230425775,36.1449306443483,61
770,경상북도,포항시,덕성1리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕성리 533-0,129.3053107627684,36.1498781367657,61
771,경상북도,포항시,덕장2리 마을회관 주변,경상북도 포항시 북구 흥해읍 덕장리 396-0,129.34469632781423,36.14460955867109,61
772,경상북도,포항시,용한1리 마을회관 주변,경상북도 포항시 북구 흥해읍 용한리 535-0,129.42564935034102,36.11154614864205,61
773,경상북도,포항시,죽천초등학교 운동장,경상북도 포항시 북구 흥해읍 우목리 20-0,129.42777869165306,36.09802641745592,1364
774,경상북도,포항시,죽천2리 마을회관 주변,경상북도 포항시 북구 흥해읍 죽천리 333-10,129.4164502484139,36.08380185005896,61
775,경상북도,포항시,죽천1리 마을회관 주변,경상북도 포항시 북구 흥해읍 죽천리 111-10,129.41929988463033,36.08949960871202,61
776,경상북도,포항시,포항대학교 운동장,경상북도 포항시 북구 흥해읍 죽천리 442-1,129.4094059578657,36.0854015489955,3333
777,경상북도,포항시,용곡리 정자 및 인근 공터,경상북도 포항시 북구 흥해읍 용곡리 173-1,129.31218391078025,36.12205984387701,61
2127,경상북도,포항시,대련3리 마을회관 주변,경상북도 포항시 북구 흥해읍 대련리 1132-26,129.32088433505987,36.04618782247109,61
2128,경상북도,포항시,대련1리 마을회관 주변,경상북도 포항시 북구 흥해읍 대련리 662-6,129.3125367038348,36.04685389458224,61
2147,경상북도,포항시,오도2리 마을회관 주변,경상북도 포항시 북구 흥해읍 오도리 77-0,129.39903214204335,36.1644207801599,61
2148,경상북도,포항시,오도1리 마을회관 주변,경상북도 포항시 북구 흥해읍 오도리 322-0,129.39952884493854,36.154299297783886,61
2149,경상북도,포항시,초곡리 마을회관 주변,경상북도 포항시 북구 흥해읍 초곡리 1010-16,129.31943988751624,36.08601978697309,61
2150,경상북도,포항시,도음산도립공원,경상북도 포항시 북구 흥해읍 학천리 707-2,129.3048521511219,36.079664505737775,4848
2151,경상북도,포항시,농산물 도매시장 주차장,경상북도 포항시 북구 흥해읍 학천리 4-0,129.3356288856233,36.08010996807675,6061
2152,경상북도,포항시,학천초등학교 운동장,경상북도 포항시 북구 흥해읍 학천리 109-0,129.32814758841636,36.076848757590575,909
2153,경상북도,포항시,성곡1리 마을회관 주변,경상북도 포항시 북구 흥해읍 성곡리 591-0,129.346099264691,36.091312954062566,61
2154,경상북도,포항시,성곡농장경로당 주변,경상북도 포항시 북구 흥해읍 성곡리 169-2,129.35685786282994,36.08676401981749,61
2155,경상북도,포항시,성곡3리 새마을복지관 주변,경상북도 포항시 북구 흥해읍 성곡리 349-1,129.3486307361173,36.08035032122109,61
2156,경상북도,포항시,달전초등학교 운동장,경상북도 포항시 북구 흥해읍 이인리 286-0,129.33478834118353,36.06313641718218,788
2157,경상북도,포항시,칠포2리 마을회관 주변,경상북도 포항시 북구 흥해읍 칠포리 377-15,129.39460175106376,36.14165059825632,61
2158,경상북도,포항시,칠포1리 마을회관 주변,경상북도 포항시 북구 흥해읍 칠포리 143-1,129.39545299314045,36.14382335861245,61
2159,경상북도,포항시,금장2리 마을회관 주변,경상북도 포항시 북구 흥해읍 금장리 184-1,129.37433335978193,36.12887527896383,61
2572,경상북도,포항시,용한2리 마을회관 주변,경상북도 포항시 북구 흥해읍 용한리 197-0,129.4309358365132,36.10233085575368,61
2573,경상북도,포항시,남송1리 마을회관 주변,경상북도 포항시 북구 흥해읍 남송리 709-0,129.36794459122535,36.10013395275704,61
2574,경상북도,포항시,남송3리 마을회관 주변,경상북도 포항시 북구 흥해읍 남송리 228-0,129.38334109723868,36.11260379422316,61
2575,경상북도,포항시,곡강3리 마을회관 주변,경상북도 포항시 북구 흥해읍 곡강리 507-6,129.39845324485276,36.12813120087064,61
2576,경상북도,포항시,망천어린이공원,경상북도 포항시 북구 흥해읍 망천리 989-0,129.35235588608722,36.111212936038,455
2577,경상북도,포항시,남성7 어린이공원,경상북도 포항시 북구 흥해읍 남성리 299-5,129.34865284656948,36.10735132429743,364
2578,경상북도,포항시,중성어린이공원,경상북도 포항시 북구 흥해읍 중성리 138-0,129.3508910903276,36.11008675335669,455
2579,경상북도,포항시,흥해초등학교 운동장,경상북도 포항시 북구 흥해읍 약성리 100-0,129.3466433522742,36.114194525501055,1667
2580,경상북도,포항시,흥해남산초등학교 운동장,경상북도 포항시 북구 흥해읍 남성리 338-0,129.34565592262288,36.10476191779778,970
2581,경상북도,포항시,흥해중학교 운동장,경상북도 포항시 북구 흥해읍 옥성리 177-1,129.34160704579932,36.10841693501121,2121
