도시이름,시군구,총인구수
서울특별시,종로구,"141,861"
서울특별시,중구,"120,648"
서울특별시,용산구,"219,102"
서울특별시,성동구,"281,694"
서울특별시,광진구,"337,900"
서울특별시,동대문구,"337,273"
서울특별시,중랑구,"385,976"
서울특별시,성북구,"431,581"
서울특별시,강북구,"294,429"
서울특별시,도봉구,"312,427"
서울특별시,노원구,"505,058"
서울특별시,은평구,"468,988"
서울특별시,서대문구,"305,113"
서울특별시,마포구,"364,698"
서울특별시,양천구,"441,749"
서울특별시,강서구,"570,011"
서울특별시,구로구,"394,212"
서울특별시,금천구,"230,156"
서울특별시,영등포구,"375,849"
서울특별시,동작구,"382,747"
서울특별시,관악구,"487,201"
서울특별시,서초구,"404,902"
서울특별시,강남구,"529,946"
서울특별시,송파구,"659,788"
서울특별시,강동구,"460,413"
부산광역시,중구,"39,936"
부산광역시,서구,"105,358"
부산광역시,동구,"86,948"
부산광역시,영도구,"108,505"
부산광역시,부산진구,"353,568"
부산광역시,동래구,"273,790"
부산광역시,남구,"257,147"
부산광역시,북구,"279,770"
부산광역시,해운대구,"387,840"
부산광역시,사하구,"302,844"
부산광역시,금정구,"222,264"
부산광역시,강서구,"143,611"
부산광역시,연제구,"204,377"
부산광역시,수영구,"174,694"
부산광역시,사상구,"203,331"
부산광역시,기장군,"178,303"
대구광역시,중구,"79,241"
대구광역시,동구,"340,213"
대구광역시,서구,"160,802"
대구광역시,남구,"141,822"
대구광역시,북구,"432,087"
대구광역시,수성구,"412,302"
대구광역시,달서구,"537,179"
대구광역시,달성군,"263,206"
인천광역시,중구,"151,310"
인천광역시,동구,"58,574"
인천광역시,미추홀구,"407,190"
인천광역시,연수구,"385,884"
인천광역시,남동구,"507,567"
인천광역시,부평구,"489,329"
인천광역시,계양구,"290,068"
인천광역시,서구,"581,974"
인천광역시,강화군,"69,809"
인천광역시,옹진군,"20,683"
광주광역시,동구,"105,798"
광주광역시,서구,"287,720"
광주광역시,남구,"213,079"
광주광역시,북구,"424,720"
광주광역시,광산구,"401,334"
대전광역시,동구,"220,286"
대전광역시,중구,"227,934"
대전광역시,서구,"471,112"
대전광역시,유성구,"354,066"
대전광역시,대덕구,"173,465"
울산광역시,중구,"208,846"
울산광역시,남구,"310,784"
울산광역시,동구,"151,986"
울산광역시,북구,"218,539"
울산광역시,울주군,"221,552"
세종특별자치시,세종특별자치시,"382,258"
경기도,수원시,"1,189,654"
경기도,수원시 장안구,"271,305"
경기도,수원시 권선구,"366,453"
