기준년도,분류 일련번호,지역,합계_재산,합계_인명,태풍_재산,태풍_인명,호우_재산,호우_인명,대설_재산,대설_인명,강풍_재산,강풍_인명,풍랑·강풍_재산,풍랑·강풍_인명,태풍·호우_재산,태풍·호우_인명,낙뢰_재산,낙뢰_인명,한파_재산,한파_인명,지진_재산,지진_인명,폭염_재산,폭염_인명
2016,1,합계,288862.5,7,214964.9,6,35886.8,1,18688.7,0,0,0,8302.4,0,0,0,0,0,0,0,11019.7,0,0,0
2016,2,서울,220.5,0,0,0,220.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,부산,38408.6,2,38345.0,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8,0,0,0
2016,4,대구,611.8,0,0,0,611.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,인천,176.2,0,4.3,0,63.8,0,91.4,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0
2016,6,광주,67.0,0,0,0,1.2,0,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,대전,369.8,0,0,0,369.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,8,울산,61945.2,3,61249.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.4,0,0,0
2016,9,세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,10,경기,3639.2,0,0,0,3504.9,0,83.7,0,0,0,50.6,0,0,0,0,0,0,0,0,0,0,0
2016,11,강원,19736.8,0,0,0,17029.5,0,0,0,0,0,2707.4,0,0,0,0,0,0,0,0,0,0,0
2016,12,충북,2446.6,1,0,0,2446.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
2016,13,충남,3623.4,0,0,0,3122.8,0,500.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,14,전북,6663.9,0,0,0,210.7,0,6453.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,15,전남,11958.3,0,6747.6,0,0,0,4991.4,0,0,0,218.0,0,0,0,0,0,0,0,1.2,0,0,0
2016,16,경북,41808.2,0,20145.1,0,5515.8,0,593.8,0,0,0,5309.7,0,0,0,0,0,0,0,10243.9,0,0,0
2016,17,경남,71630.4,0,68839.8,0,2773.8,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0
2016,18,제주,25556.4,1,19633.4,1,14.4,0,5908.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,합계,187302.3,7,0,0,101591.7,7,83.4,0,0,0,605.3,0,0,0,0,0,0,0,85021.9,0,0,0
2017,2,서울,44.6,1,0,0,44.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,3,부산,1803.4,0,0,0,1457.4,0,0,0,0,0,346.0,0,0,0,0,0,0,0,0,0,0,0
2017,4,대구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,5,인천,2549.6,1,0,0,2549.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,광주,2.4,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,대전,1.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,8,울산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,세종,32.4,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,10,경기,2880.5,0,0,0,2880.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,11,강원,7122.0,0,0,0,7089.3,0,17.7,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0
2017,12,충북,57717.5,5,0,0,57717.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,13,충남,24481.9,0,0,0,24481.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,14,전북,71.8,0,0,0,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,15,전남,148.4,0,0,0,148.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,16,경북,86649.8,0,0,0,1453.4,0,0,0,0,0,175.0,0,0,0,0,0,0,0,85021.3,0,0,0
2017,17,경남,3474.9,0,0,0,3464.6,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0.6,0,0,0
2017,18,제주,321.9,0,0,0,196.7,0,65.7,0,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0
2018,1,합계,141284.2,53,64199.6,2,53799.8,2,14031.9,0,6.6,0,2822.8,0,6416.1,1,0,0,0,0,0,0,7.4,48
2018,2,서울,2622.7,4,0,0,2622.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2018,3,부산,7297.3,2,7105.0,0,0,0,0,0,0,0,2.0,0,190.3,0,0,0,0,0,0,0,0,2
2018,4,대구,103.9,3,19.2,1,0,0,84.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018,5,인천,521.5,2,0,0,285.6,0,0,0,0,0,235.9,0,0,0,0,0,0,0,0,0,0,2
2018,6,광주,28.3,2,0,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018,7,대전,3010.3,0,0,0,2980.9,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0
2018,8,울산,574.0,0,565.9,0,1.5,0,4.8,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
2018,9,세종,758.6,1,0,0,758.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,10,경기,19850.4,6,0,0,19567.0,0,55.2,0,6.6,0,83.6,0,137.9,1,0,0,0,0,0,0,0,5
2018,11,강원,7886.9,5,1921.9,0,5892.5,1,0,0,0,0,71.8,0,0.7,0,0,0,0,0,0,0,0,4
2018,12,충북,9609.5,3,5.4,0,9118.0,1,428.9,0,0,0,0,0,57.3,0,0,0,0,0,0,0,0,2
2018,13,충남,2395.7,2,9.6,0,1726.1,0,264.6,0,0,0,0,0,395.3,0,0,0,0,0,0,0,0,2
2018,14,전북,5249.0,5,204.3,0,4388.2,0,333.5,0,0,0,0,0,315.7,0,0,0,0,0,0,0,7.4,5
2018,15,전남,20205.8,4,15027.7,0,1222.6,0,0,0,0,0,0,0,3955.5,0,0,0,0,0,0,0,0,4
2018,16,경북,41773.5,11,25602.5,1,1327.0,0,11525.5,0,0,0,2426.5,0,892.0,0,0,0,0,0,0,0,0,10
2018,17,경남,17377.1,3,11747.7,0,3869.4,0,1327.1,0,0,0,0,0,433.1,0,0,0,0,0,0,0,0,3
2018,18,제주,2019.6,0,1990.5,0,11.6,0,7.4,0,0,0,3.0,0,7.0,0,0,0,0,0,0,0,0,0
2019,1,합계,216225.9,48,212778.2,18,1650.8,0,671.3,0,7.5,0,473.6,0,0,0,26.3,0,0,0,0,0,618.2,30
2019,2,서울,126.0,1,63.0,1,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,부산,1931.6,7,1931.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2019,4,대구,29.0,3,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2019,5,인천,10406.6,0,10403.9,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,광주,26.4,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,대전,6.6,0,1.5,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,울산,2996.5,0,2996.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,9,세종,38.9,0,9.9,0,2.7,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0
2019,10,경기,6775.1,6,5920.9,1,735.8,0,0,0,0,0,118.3,0,0,0,0,0,0,0,0,0,0,5
2019,11,강원,32932.9,1,32742.5,1,1.0,0,96.2,0,0,0,93.2,0,0,0,0,0,0,0,0,0,0,0
2019,12,충북,868.6,1,863.5,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
