일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수,해변으로부터거리,대피소 분류명,내진적용여부,해발높이
608,경상북도,울진군,삼율지구3,7번국도 옆 공장부지,경상북도 울진군 후포면 금음리 28-4,129.43660500,36.67330300,500,200,공터,,30
609,경상북도,울진군,금음지구2,풍경모텔뒷산,경상북도 울진군 후포면 금음리 산155-1,129.42970200,36.66422000,500,250,공터,,24
610,경상북도,울진군,금음지구2,반소골길,경상북도 울진군 후포면 금음리 산259,129.39872300,36.66552800,300,100,공터,,20
614,경상북도,울진군,삼율지구2,삼영아파트옥상,경상북도 울진군 후포면 울진대게로 24-7,129.44247300,36.67724700,400,150,민간건축물,,20
615,경상북도,울진군,삼율지구3,공영하이츠옥상,경상북도 울진군 후포면 정실2길 24-1,129.43910600,36.67760600,500,300,민간건축물,,35
616,경상북도,울진군,삼율지구2,우성플러스빌옥상,경상북도 울진군 후포면 청구천길 4-8,129.44483100,36.68178500,300,120,민간건축물,,37
620,경상북도,울진군,후포지구3,후포2리뒷산,경상북도 울진군 후포면 후포리 292,129.45721600,36.68434600,400,200,공터,,35
621,경상북도,울진군,후포지구2,후포2리마을고지대,경상북도 울진군 후포면 후포리 361-1,129.45891200,36.68382700,100,280,공터,,25
613,경상북도,울진군,삼율지구1,마을뒤고지대(주차장),경상북도 울진군 후포면 삼율리 356-2,129.43984100,36.68151500,500,220,공터,,19
617,경상북도,울진군,후포지구1,후포등기산공원,경상북도 울진군 후포면 후포리 583-1,129.46248400,36.68205900,800,200,공터,,43
618,경상북도,울진군,후포지구4,후포교회,경상북도 울진군 후포면 후포로 101,129.45230900,36.68086200,300,100,공터,,17
619,경상북도,울진군,후포지구2,용마맨션옥상,경상북도 울진군 후포면 후포로 195,129.46081700,36.68184100,300,100,민간건축물,,19
625,경상북도,울진군,후포지구2,등기산주차장,경상북도 울진군 후포면 후포리 563,129.46352500,36.68183700,800,160,공터,,25
624,경상북도,울진군,후포지구1,후포1리마을고지대,경상북도 울진군 후포면 후포리 447-1,129.46001200,36.68486800,300,100,공터,,20
622,경상북도,울진군,후포지구1,마을뒷산고지대,경상북도 울진군 후포면 후포리 37,129.46429100,36.68856600,200,120,공터,,20
623,경상북도,울진군,후포지구1,마을뒷산 고지대,경상북도 울진군 후포면 후포리 37,129.46433500,36.68838800,200,100,공터,,19
3,부산광역시,강서구,대항지구,(구)외항포가는길,부산 강서구 대항동 산 13-29,128.82513900,35.00989000,397,55,도로변,,25
626,경상북도,울진군,후포지구1,후포동부초등학교,경상북도 울진군 후포면 후포리 427-1,129.46277500,36.68580100,500,130,학교운동장,,20
627,경상북도,울진군,후포지구1,평해광업사원아파트,경상북도 울진군 후포면 후포리 산140,129.46290900,36.68400500,400,200,공터,,25
628,경상북도,울진군,후포지구2,전망대,경상북도 울진군 후포면 후포리 산141-13,129.46470200,36.68047700,200,160,공터,,21
5,부산광역시,기장군,공수지구,당사마을 정자 앞 도로,부산 기장군 기장읍 당사리 510,129.21041700,35.18679500,400,300,도로변,,30
1,부산광역시,강서구,대항지구,대항주차장,부산광역시 강서구 가덕도동 산 13-26,128.83003000,35.01224342,6053,200,도로변,,15
2,부산광역시,강서구,대항지구,마을진입로,부산 강서구 대항동 382-2,128.82758600,35.01448900,463,80,도로변,,35
6,부산광역시,기장군,대변지구,대항교회,부산 기장군 기장읍 대변리 149,129.22634900,35.22637700,300,350,민간건축물,미적용,11
7,부산광역시,기장군,대변지구,대변항 입구 교차로,부산 기장군 기장읍 대변리 450,129.22641600,35.22369700,300,75,도로변,,15
8,부산광역시,기장군,대변지구,힐타운 앞 도로,부산 기장군 기장읍 대변리 266-5,129.23159300,35.22284200,270,60,도로변,,18
4,부산광역시,기장군,공수지구,공수마을뒷산(멍두산),부산 기장군 기장읍 시랑리 690-3,129.20669100,35.18402100,400,550,공터,,30
10,부산광역시,기장군,선택안함,국립수산과학원 정문 앞 도로,부산광역시 기장군 기장읍 시랑리 408-1,129.22107900,35.19220200,200,500,도로변,,14
11,부산광역시,기장군,동암지구,힐튼호텔 앞 도로,부산 기장군 기장읍 시랑리 704,129.22638700,35.19891300,500,300,도로변,,21
13,부산광역시,기장군,서암-신암지구,신암마을 뒤 신도로1,부산 기장군 기장읍 연화리 284-32,129.22248100,35.21880100,300,500,도로변,,17
9,부산광역시,기장군,동백지구,부경대수산과학연구소 앞 야산,부산 기장군 일광면 동백리 241-3,129.25460800,35.28557700,650,320,공터,,17
18,부산광역시,기장군,월내-길천지구,월내야산(삼막골),부산 기장군 장안읍 월내리 286-2,129.27560100,35.32914100,700,400,공터,,26
14,부산광역시,기장군,서암-신암지구,신암마을 뒤 신도로2,부산 기장군 기장읍 연화리 193,129.22496100,35.21906900,300,250,도로변,,17
15,부산광역시,기장군,서암-신암지구,신암마을 교차로,부산 기장군 기장읍 연화리 산1-7,129.22626300,35.22013500,300,200,도로변,,17
16,부산광역시,기장군,월내-길천지구,고리스포츠문화센터,부산 기장군 장안읍 길천리 85,129.28575700,35.32944600,1500,500,공공건축물,1등급,14
12,부산광역시,기장군,서암-신암지구,서암마을 뒤 신도로,부산 기장군 기장읍 연화리 507,129.21958600,35.21404900,500,200,도로변,,28
17,부산광역시,기장군,월내-길천지구,기장문화예절학교,부산 기장군 장안읍 월내리 579,129.26674900,35.32582700,900,550,공공건축물,2등급,34
25,부산광역시,기장군,칠암-문동지구,문동마을 뒷산,부산 기장군 일광면 문동리 산25-3,129.25457800,35.30781100,500,600,공터,,42
22,부산광역시,기장군,임랑지구,장안어린이집 앞 도로,부산 기장군 장안읍 해맞이로 167,129.25902600,35.31690600,90,100,도로변,,15
23,부산광역시,기장군,임랑지구,임랑야산(대덕사),부산 기장군 장안읍 임랑리 97-10,129.25866600,35.31862700,350,400,공터,,11
20,부산광역시,기장군,월전-죽성지구,왜성주차장,부산 기장군 기장읍 죽성리 258,129.24374100,35.24101500,500,400,공터,,16
21,부산광역시,기장군,월전-죽성지구,사랑애 펜션 앞 도로,부산 기장군 기장읍 죽성리 481-1,129.24097700,35.23691200,90,130,도로변,,15
19,부산광역시,기장군,월전-죽성지구,월전마을 야산 사거리,부산 기장군 기장읍 죽성리 296-1,129.24127200,35.23972600,500,520,공터,,16
26,부산광역시,기장군,칠암-문동지구,칠암초등학교,부산 기장군 일광면 칠암리 134,129.25326100,35.29885500,300,200,공공건축물,1등급,11
27,부산광역시,기장군,학리-이동지구,이동마을 뒷산,부산 기장군 일광면 이천리 221-4,129.24201700,35.27344100,400,500,공터,,14
24,부산광역시,기장군,임랑지구,묘관음사 앞 도로,부산 기장군 장안읍 해맞이로 253-38,129.26640300,35.32287800,90,100,도로변,,10
633,경상북도,울릉군,남양지구,울릉서중학교,경상북도 울릉군 서면 남서리 30-3,130.83636900,37.46889100,400,228,학교운동장,,17
634,경상북도,울릉군,도동지구,울릉중학교,경상북도 울릉군 울릉읍 도동리 223-8,130.90262200,37.48495500,400,590,학교운동장,,48
